Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Target
LP178,Female,No,,Graduate,No,1,,214,36,1,Semiurban,N
LP2974,Male,Yes,,Graduate,No,3232,195,18,36,1,Rural,Y
LP23,Female,No,,Not Graduate,No,1963,,53,36,1,Semiurban,Y
LP2983,Male,Yes,1,Graduate,No,872,24,253,36,1,Urban,Y
LP2296,Male,No,,Not Graduate,No,2755,,65,3,1,Rural,N
LP1439,Male,Yes,,Not Graduate,No,43,214,194,36,1,Rural,Y
LP158,Male,Yes,2,Graduate,No,11757,,187,18,1,Urban,Y
LP2473,Male,Yes,,Graduate,No,8334,,16,36,1,Semiurban,N
LP253,Male,Yes,3,Graduate,No,4342,189,124,36,1,Semiurban,Y
LP1248,Male,No,,Graduate,No,35,,81,3,1,Semiurban,Y
LP2619,Male,Yes,,Not Graduate,No,3814,1483,124,3,1,Semiurban,Y
LP2277,Female,No,,Graduate,No,318,,71,36,,Urban,N
LP2911,Male,Yes,1,Graduate,No,2787,1917,146,36,,Rural,N
LP141,Male,Yes,1,Graduate,No,14583,,185,18,1,Rural,Y
LP2484,Male,Yes,3,Graduate,No,774,,128,18,1,Urban,Y
LP2585,Male,Yes,,Graduate,No,3597,2157,119,36,,Rural,N
LP1841,Male,No,,Not Graduate,Yes,2583,2167,14,36,1,Rural,Y
LP282,Male,Yes,,Graduate,No,5923,254,211,36,1,Rural,Y
LP1744,Male,No,,Graduate,No,2971,2791,144,36,1,Semiurban,Y
LP1552,Male,Yes,,Graduate,No,4583,5625,255,36,1,Semiurban,Y
